genre,sinopsis
"Action,Adventure,Shounen,Super Power","Hunter x Hunter (2011) bercerita tentang keberadaan para Hunter yang bertugas menyelesaikan pekerjaan berbahaya seperti menangkap para penjahat dan dengan berani mencari harta karun yang hilang di wilayah yang belum dikenal. Gon Freecss anak yang berumur dua belas tahun bertekad untuk menjadi Hunter terhebat dan bisa menemukan ayahnya, yang juga seorang Hunter yang meninggalkannya sejak saat kecil. Akan tetapi, Gon pun menyadari bahwa jalan untuk mencapai semua itu jauh lebih menantang dari yang ia bayangkan. Dalam perjalanannya menjadi Hunter profesional. Gon berteman dengan seorang yang seperti dokter yaitu Leorio, dan seorang pendendam bernama Kurapika, dan seorang mantan pembunuh bayaran, Killua. Untuk mencapai tujuan dan keinginannya, mereka berempat mengikuti ujian Hunter, yang terkenal sangat sulit dan bahkan bisa mengakibatkan kematian. Dalam perjalanan mereka, Gon dan teman-temannya melewati banyak kesulitan dan perjuangan melelahkan. Mereka banyak mewnemui monster, makhluk asing, dan karakter-karakter yang all while learning what being a Hunter truly means."
"Drama,Music,School","Hibike ! Euphonium dimulai saat Kumiko Oumae , seorang gadis yang berada di klub band alat musik tiup kuningan SMP , mengunjungi klub alat musik tiup kuningan SM A di tahun pertamanya . Kumiko yang sekelas Hazuki dan Sapphire memutuskan untuk bergabung dengan klub , tapi Kumiko melihat teman sekelas nya Reina di sana dan ragu-ragu . Dia ingat insiden saat dia dan Reina di kontes band alat musik tiup kuningan pada bangku SMP ."
"Action,Psychological,Sci-Fi,Super Power","Cerita ini mengambil seting beberapa tahun di masa depan di mana permainan “ Rhyme”, sebuah game pertarungan virtual, sangat populer dan orang-orang memiliki “ AllMates,” komputer AI nyaman . Aoba memiliki kehidupan biasa , bekerja di sebuah toko barang bekas dan tinggal bersama neneknya di pulau Midorijima . Tidak seperti teman-temannya , ia tak ikut serta dalam Rhyme , dan tidak tidak ikut serta dalam geng . Namun, saat desas-desus orang menghilang mulai menyebar , Aoba akhirnya mengerti bahwa dirinya harus untuk mengungkap misteri yang ada di balik pulau, untuk melindungi kehidupan."
"Romance,Slice of Life,Supernatural","Anak dari seorang seniman kaca yaitu, Fukami Touko, menghabiskan waktu bersantainya di kafe yang bernama “Kazemichi” yang pemiliknya adalah ayah temannya. Di liburan musim panas kelas tiga SMA-nya. Muncul seorang anak laki-laki bernama : Okikura Kakeru. Dia bilang pada Touko kalau ia bisa melihat suara masa depan. Jika seseorang mengetahui apa yang terjadi di masa depan, apa yang mereka harapkan? Di saat perasaannya begitu menggebu-gebu, Touko menyadari bahwa dia memiliki perasaan di dalam hatinya yang tak bisa ia abaikan …."
"Action,Adventure,Fantasy",
"Comedy,Romance,Shoujo","Gouda Takeo adalah seorang anak SMA tahun pertama . Dengan b erat : 120kg , Tinggi: 2 meter . Dia menghabiskan hari-harinya dengan tenang bersama seorang yang populer di kalangan para gadis , meski dia teman semasa kecilnya dia adalah seorang yang tidak peka yang bernama Sunakawa . Suatu pagi , di kereta ke sekolah , Takeo menyelamatkan seorang gadis bernama Yamato yang dianiaya oleh orang mesum . Mungkinkah ini menjadi awal dari musim semi untuk Takeo ?"
"Action,Comedy,Fantasy,Shoujo","Series kali ini akan mengadaptasi dua chapter bonus dari volume manga Mizuho Kusanagi, yang berjudul “Di Punggung Itu” dan “Kija. Cerita ” Di Punggung Itu” mengisahkan tentang kejadian yang ada di penginapan pemandian air panas, yang menggambarkan masa lalu “Kija” sebagai seorang Naga Putih."
"Action,Mystery,Sci-Fi,Seinen","Virus Gastrea menyebar seperti api, membuat setiap wadah yang terinfeksi bermutasi dengan cepat, mendapatkan kekuatan baru dan kemampuan dengan setiap tahap perkembangan, bahkan saat mereka terus menyerang, membunuh dan menginfeksi beberapa host baru."
Mystery,"Cerita berlangsung di suatu sekolah menengah di mana terjadi beberapa kasus pembunuhan . Kobayashi , seorang anak yang bersekolah di sana bertemu dengan detektif jenius , detektif Akechi yang datang ke sekolah untuk melakukan penyelidikan . Kobayashi tertarik pada Akechi dan , terlepas kekhawatiran temannya, Hashiba , ia memutuskan menjadi relawan sang detektif tersebut."
"Action,Comedy,Parody,Sci-Fi,Seinen,Super Power,Supernatural",One Punch Man Episode special berjumlah 6 episode yang menceritakan apa yang tak diceritakan di serial TV utamanya. Untuk Jadwal rilis tidak menentu.
Action,"Pada tahun 2016 , krisis dari pembangkit listrik tenaga nuklir menciptakan bencana besar di Tokyo . 20 tahun kemudian , kota ini telah menjadi kota hantu karena radiasi tingkat tinggi . Dari daerah itu sinyal marabahaya diterima . Pasukan Pertahanan Diri mengirimkan tiga gadis dari unit Coppelion khusus untuk mencari korban . Tapi mengapa tidak mereka mengenakan perlindungan terhadap radiasi ?"
"Action,Mecha,Sci-Fi,Space",Musim kedua dari anime Aldnoah Zero
"Action,Adventure,Shounen,Supernatural","Pada musim kedua kali ini, Noragami berfokus pada cerita tentang Bishamon , sang dewa perang . Bishamon memiliki banyak Harta Suci karena dia tak tega membiarkan begitu saja roh diserang oleh Siluman . Dia memiliki se kelompok besar Harta Suci yang dipi mpinnya , yang kadang mendatangkan masalah karena dia tak mampu mengelolanya dengan baik , terutama saat salah satu dari mereka jatuh sakit atau merasakan kesakitan . Dia memiliki kebencian yang kuat pada Yato , di mana terdapat masa lalu kelam yang mengikat hubungan mereka berdua . Bagaimanakah hubungan peristiwa mengerikan yang terjadi ratusan tahun yang lalu dengan kejahatan yang saat ini mempengaruhi Yato dan Yukine ?"
"Action,Comedy,Fantasy,Romance,Shoujo","Setelah ulang tahun keenam belas , sang Putri ceria yaitu Putri Yona bermaksud untuk memberitahukan cintanya pada Soo -won kepada ayahandanya, namun kehidupannya terbalik setelah menyaksikan pria yang dicintainya dengan kejam membunuh ayahnya . Karena p atah hati oleh pengkhianatan yang menyakitkan itu , Putri Yona melarikan diri dari istana bersama dengan pelayan setianya Hak . Sekarang , dia akan mengangkat pedang dan busur untuk mendapatkan sekutu baru dan melindungi orang-orang tercinta ."
"Comedy,Shoujo,Slice of Life",
"Action,Police,Psychological,Sci-Fi","Sekuel dari serial Psycho - Pass, bersetting latar satu setengah tahun dari season pertamanya.,Setelah mengetahui sifat sejati dari Sistem Sybil , Akane Tsunemori memilih untuk mematuhi sistem, percaya baik itu kemanusiaan ataupun tatanan hukum . Dia adalah bagian dari seksi polisi baru dan menghabiskan kehidupan sehari-harinya untuk menghadapi para penjahat . Tanpa diketahui oleh Akane , ada seorang monster yang muncul dan akan mengguncangkan inti sistem ."
"Drama,Shounen,Supernatural,Vampire","Yuuichirou bertemu lagi dengan Mikaela dalam pertempuran Shinjuku. Namun Mikaela telah berubah menjadi Vampir. Untuk menyelamatkan “family,” dan melindungi rekan anggotanya, Yuuichirou harus memiliki pengetahuan serta kekuatan. Dia mencari cara untuk mengembalikan vampir menjadi manusia biasa, dan di saat yang sama, dia berlatih keras dengan menggunakan senjata iblis. Sementara itu, Kureto memanggil Guren memberitahukan sesuatu yang mengejutkan. Dalam satu bulan, unit utama Vampir akan mulai menyerang Tokyo. Untuk melawan para Vampir, Kureto memerintahkan Guren untuk pergi ke Nagoya. Misi pemusnahan telah dimulai!"
"Action,Comedy,Parody,Sci-Fi,Seinen,Super Power,Supernatural","Retailer Manga-Oh Jepang, saat ini memasukkan edisi gabungan dari volume ke-10 manga One Punch Man buatan ONE dan Yusuke Murata yang di dalamnya terdapat original video anime (OVA) yang menceritakan perjalanan Saitama menjadi seorang pahlawan."
"Action,Super Power,Supernatural","Mengambil setting dunia di mana sangat berbeda/unik dari yang biasa kita kenal, K menceritakan seorang anak muda yang hidupnya terjebak dalam perang psikis antara tujuh raja. SMA Ashinaka dikenal sebagai sekolah yang memiliki letak unik yaitu seluruh sekolah dibangun di sebuah pulau. Yashiro Isana, alias Shiro, sedang makan siang dengan kucing di salah satu atap sekolah. Setelah istirahat makan siang, Shiro pergi mencarikan keperluan teman sekelasnya Kukuri untuk mempersiapkan festival sekolah mendatang, dan saat kelur dari sekolah itulah Shiro dikejar oleh beberapa orang yang terlihat menakutkan."
"Action,Adventure,Comedy,Drama","Sudah enam tahun berlalu sejak petualangan musim panas saat Taichi Yagami yang anak terpilih lainnya memasuki dunia Digital. Dan hampir tiga tahun telah berlalu sejak pertempuran terakhir antara kelompok Hikari Yagami dan BelialVamdemon. Saat hari-hari damai berlalu, di beberapa titik, pintu gerbang ke Dunia Digital ditutup. Bahkan Anak-anak Terpilih pun tahu apa yang menyebabkan hal ini, dan waktu pun terus berlalu. Pada satu hari, Kuwagamon tiba-tiba muncul di Odaiba. Amukannya membuat kota runtuh, dan membuat penduduk panik tak terkendali. Taichi secara kebetulan bertemu dengan Kuwagamon, dan ia pun melakukan pengejaran untuk menghentikannya. Tapi tidak ada yang bisa dia lakukan terhadap Kuwagamon. Tak ada gunanya … aku tak bisa melakukan mengatasi hal ini sendirian … “. Di saat itu juga Kuwagamon mengaum dan menyerang Taichi, Digivice-nya mulai memancarkan cahaya terang … “Taichi, tak kusangka kau sudah sebesar ini!” Dengan suara yang tak asing tersebut, sekali lagi cerita pun dimulai menuju pergerakkan besar. Sekali lagi, petualangan pun berevolusi."
"Drama,Music,Romance,School,Shounen","Arima Kousei seorang pianis berbakat yang mendominasi seluruh kompetisi dan seluruh anak mengenalnya. Tapi setelah ibunya meninggal yang merupakan gurunya juga, mentalnya hancur saat dia sedang bermain di sebuah pertunjukan yang menyebabkan dia tak bisa mendengar suara pianonya lagi meskipun dia mendengarnya dengan sempurna. Tiga tahun telah berlalu dan Kousei belum menyentuh pianonya sama sekali, dia memandang dunia seperti monotone yang tanpa warna sama sekali. Dia menjalani kehidupannya bersama temannya Tsubaki dan Watari, sampai suatu hari, seorang gadis merubah segalanya. Miyazono Kaori seorang gadis yang cantik dan violinis ceria, yang berbanding terbalik sekali dengan sifatnya. Kaori membantu Kousei kembali ke dunia musik dan menunjukkan pada Kousei kalau dunia itu lebih bebas dan indah daripada yang dia lihat."
"Action , Adventure",Berisi movie-movie one piece
"Action , Adventure",
"Comedy,Drama,Shounen,Sports",Musim kedua dari anime Yowamushi Pedal. Musim kedua akan berfokus pada lanjutan balap sepeda Inter-High ! Seluruh siswa SMA yang ikut serta dalam Inter-High mengerahkan segala kemampuan yang mereka miliki pada sepeda mereka.
Comedy,"Musim kedua dari anime Diamond no Ace yang mengisahkan tentang Eijun Sawamura, seorang pitcher yang bergabung dalam sekolah khusus yang di dalamnya ada catcher luar biasa bernama Kazuya Miyuki. Bersama dengan seluruh tim, mereka berusaha untuk menuju kejuaraan Koushien Jepang melalui usaha keras dan tekad."
"Comedy,Drama,School,Shounen,Sports",
"Comedy,Drama,Romance,School,Shoujo,Slice of Life",
"Action,Super Power,Supernatural","Lanjutan dari serial anime K sebelumnya. Di era modern Jepang , di mana sejarah dengan anehnya tumpang tindih dengan kenyataan . Terdapat tujuh Raja dengan kekuatan super . Seiring dengan waktu masing-masing raja memiliki klan untuk berbagi kekuatan . Peraturan ditegakkan oleh biru , api merah menimbulkan kekacauan , penyimpangan yang ditimbulkan putih , dan reformasi bercabang dari hijau . Para raja, dengan kekuatan masing-masing , saat ini ….,Jungle telah memulai aksinya kembali , yang membawa takdir dari para Raja."
"Action,Adventure,Seinen",Seorang pedagang senjata kejam yang memiliki tujuan mulia demi kedamaian dunia. Seorang prajurit kecil yang terlahir di tengah konflik penuh kekacauan. Hidup mereka akan menjadi satu dalam perjalanan bersama-sama melalui inti menyedihkan dari pasar senjata dunia.
"Action , School","Sebuah gerbang menuju dimensi lain telah terbuka secara paksa, dan dari situ muncul makhluk tak terkalahkan raksasa yang mengancam seluruh umat manusia . Satu-satunyanya pertahanan bumi adalah sebuah kelompok prajurit misterius yang telah dipersenjatai teknologi alien untuk melawan makhluk yang mengancam bumi."
"Drama , Fantasy , Horror","Seorang eksekutif muda yang ambisius dikirim untuk mengambil CEO perusahaannya dari indah tapi misterius ""wellness center"" di lokasi yang jauh di Pegunungan Alpen Swiss tapi segera menduga bahwa perawatan ajaib spa adalah tidak seperti yang terlihat."
"TV Show , Drama , Mystery , Fantasy","Adaptation of Tom Perrotta's novel about life in a small town after many of its residents vanished in a Rapture-like event. They are the Garvey family and their acquaintances in the fictional town of Mapleton, New York"
"Fantasy , Horror","Film ini mengikuti setan pemburu Jebediah Huntley, yang tim dengan agen FBI untuk pertempuran kekuatan supranatural di bagian selatan negara bagian Mississippi."
"Biography , Drama , History","Kisah nyata Madalyn Murray O'Hair - ikonoklas, oportunis, dan atheis blak-blakan - dari kenaikan kontroversial dia untuk kematian sebelum waktunya nya."
"Family , Fantasy","Melanjutkan musim 4, remaja Wolfblood menghadapi tantangan yang dapat mengubah benar-benar hidup mereka. Apa rahasia akan terungkap? Apa yang akan terjadi?"
"Action , Crime , Thriller","John Wick dipaksa keluar dari pensiun oleh mantan rekan ingin menguasai gilda bayangan pembunuh internasional 'Bound oleh sumpah darah untuk membantu dia, Wick perjalanan ke Roma dan melakukan pertempuran melawan beberapa pembunuh paling berbahaya di dunia."
"Crime , Drama , Thriller","Di New York, dua remaja laki-laki yang bertugas membersihkan rumah mobil tua ayah mereka pada properti terbengkalai, tetapi anak-anak berada dalam untuk kejutan ketika mereka menemukan tiga penjahat buron telah berlindung di trailer."
"Adventure , Drama , Romance","Set di bangun dari bencana yang tidak diketahui yang telah mengakibatkan masyarakat dewasa bebas yang dipimpin oleh komplotan rahasia dari mantan atlet sekolah tinggi. Setelah dua anggota ditetapkan pada perjalanan berbahaya ke yang tidak diketahui untuk menemukan keluarga dan berharap untuk masa depan, Caleb dan bawahan setan nya Gentry mengikuti pengejaran."
Action,"Ketika seorang arkeolog menemukan harta karun Sir Francis Drake hilang di Gurun Sahara, itu segera dicuri dan ia set off pada pencarian global untuk mencuri kembali."
"Biography , Drama , Romance",Pangeran Seretse Khama dari Botswana menyebabkan kegemparan internasional ketika ia menikahi seorang wanita kulit putih dari London pada akhir 1940-an.
"Documentary , Biography , Sport","Sepenuhnya resmi, akses-semua-daerah fitur doc pada sangat karismatik dan global memuja Usain Bolt - resmi orang tercepat hidup. Dengan rekaman arsip tidak pernah dilihat sebelumnya dari masa mudanya di Jamaika, hingga rekaman asli yang akan ditangkap di keempat dan terakhirnya Olimpiade di Rio, di mana ia akan bersaing untuk emas baik di 100 dan 200 meter ras, untuk Game ketiga beruntun sebelum pensiun pada tahun 2017. I AM BOLT akan mengungkapkan pria itu dan menentukan warisan atlet yang luar biasa ini."
"Action , Crime , Drama","Sebuah tim investigasi kejahatan intelektual pergi setelah perusahaan Won Jaringan. Perusahaan ini terlibat dalam kasus penipuan besar-besaran. Kim Jae-Myung adalah pemimpin dari tim investigasi kejahatan intelektual. Dia cerdas, karismatik, agresif dan berani untuk memimpin tim investigasi kejahatan intelektual. Presiden Jin adalah presiden Won Jaringan. Taman Jang-Goon adalah Kepala Seksi Won Jaringan. Dia adalah otak di balik Won Jaringan."
"Drama , Romance",Penderitaan anak-anak lalai dapat menyebabkan digambarkan di sini dari sudut pandang orang tua.
"Action , Adventure , Fantasy",Kisah pasukan elit membuat berdiri terakhir bagi umat manusia pada struktur yang paling ikonik di dunia.
"Action , Comedy , Sci-Fi","Ketika laba-laba alien raksasa lolos dari laboratorium militer dan mengamuk di seluruh kota Los Angeles, terserah satu pembasmi pintar dan nya penjaga keamanan sidekick untuk membunuh makhluk itu sebelum seluruh kota hancur."
Fantasy,"Mengatur dua bulan setelah akhir musim 2, musim 3 dibuka dengan pertemuan Rhydian Dacia, yang bekerja untuk Segolia Corporation. Dia, seperti banyak karyawan, adalah wolfblood dan mengatakan Rhydian bahwa perusahaan mengatur perjalanan yang aman ke Kanada untuk Smiths ..."
"Action , Adventure , Drama","Berdasarkan asli 1941 film dari Jepang, dan dari kisah paling abadi Jepang kuno, epik 3D fantasi-petualangan 47 Ronin lahir. Keanu Reeves memimpin pemain sebagai Kai, orang buangan yang bergabung Oishi (Hiroyuki Sanada), pemimpin 47 samurai terbuang. Bersama-sama mereka membalas dendam atas tuan berbahaya yang membunuh tuan mereka dan dibuang jenis mereka. Untuk mengembalikan kehormatan ke tanah air mereka, para prajurit memulai pada pencarian yang menantang mereka dengan serangkaian uji coba yang akan menghancurkan prajurit biasa."
Comedy,"David Portnoy, a 15-year-old birding fanatic, thinks that he’s made the discovery of a lifetime. So, on the eve of his father’s remarriage, he escapes on an epic road trip with his best friends to solidify their place in birding history."
"Biography , Drama , Romance","BELLE terinspirasi oleh kisah nyata Dido Elizabeth Belle, yang tidak sah ras campuran putri dari Royal Navy Admiral. Dibesarkan oleh dia aristokrat besar-paman Tuhan Mansfield dan istrinya, keturunan Belle memberi hak istimewa tertentu nya, namun warna kulitnya mencegah dia dari sepenuhnya berpartisipasi dalam tradisi status sosial nya. Dibiarkan bertanya-tanya apakah dia akan pernah menemukan cinta, Belle jatuh untuk anak membungkuk seorang pendeta muda yang idealis tentang perubahan yang, dengan bantuan nya, bentuk peran Tuhan Mansfield sebagai Tuhan Ketua Mahkamah untuk mengakhiri perbudakan di Inggris"
"Action , Drama , Sport",Sekelompok tawanan perang di kamp penjara Jerman selama Perang Dunia II memainkan Tim Nasional Sepak Bola Jerman di film yang kuat ini menggambarkan peran tahanan selama masa perang.
Comedy,Tramp adalah seorang narapidana melarikan diri yang keliru sebagai pendeta di sebuah gereja kota kecil.
"Action , Drama","Terletak di abad ke-19, ketika rendah daging Dol Moo-Chi menolak untuk melaksanakan tugas, kegagalannya menyebabkan tragedi terungkap pada keluarganya dan dirinya sendiri. Sebagai Dol Moo-Chi akan segera dieksekusi, sekelompok pencuri benar dikenal sebagai Kundo tiba."
"Action , Drama , Thriller","Seorang politisi muda menemukan dirinya dalam posisi di mana ia harus kontes melawan pacarnya, yang ambisius. Keadaan memaksa mirip kembarnya juga terlibat dalam pertempuran politik ini."
"Action , Romance , Drama","The Moorim Sekolah mengajarkan siswa kebajikan termasuk kejujuran, iman, pengorbanan dan komunikasi bukannya berfokus pada nilai akademik yang tinggi. Para guru dan siswa di sekolah berasal dari negara yang berbeda dan masing-masing memiliki cerita sendiri untuk memberitahu."
"Crime , Drama , Thriller","Ketika Rudy Baylor (Matt Damon), seorang pengacara muda tanpa klien, pergi bekerja untuk pemburu ambulans kumuh, ia ingin membantu orang tua dari seorang anak yang sakit parah dalam setelan mereka terhadap perusahaan asuransi (diwakili oleh kejam Jon Voight) . Tapi untuk mengambil perusahaan Amerika, Rudy dan paralegal suka berkelahi (Danny DeVito) harus membuka firma hukum sendiri."
"Comedy , Drama","Ketika ajaib kuliah piano mencoba untuk memeriksa ibunya ke rehabilitasi, ia disandera oleh pengedar narkoba dan menyapu di sepanjang petualangan liar."
"Comedy , Horror","Sepuluh cerita dari direksi atas horor ini. Hantu, hantu, monster, dan iblis menyenangkan di meneror warga tidak curiga dari lingkungan di pinggiran kota pada malam Halloween. antologi menyeramkan ini menggabungkan cerita Halloween klasik dengan barang dari mimpi buruk."
"Comedy , Crime , Drama",Seorang pria tanpa tujuan dikirim ke penjara untuk kejahatan yang tidak dilakukannya.
"Biography , Drama , Thriller","Berdasarkan kisah nyata dari cryptanalyst legendaris Alan Turing, film menggambarkan ras menggigit kuku terhadap waktu oleh Turing dan tim brilian dari pemecah kode di atas-rahasia Kode Pemerintah Inggris dan Cypher School di Bletchley Park, pada hari-hari paling gelap Perang Dunia II."
"Drama , Romance , War","A Farewell to Arms adalah 1957 film yang drama Amerika yang disutradarai oleh Charles Vidor. Skenario oleh Ben Hecht, sebagian didasarkan pada sebuah drama 1930 oleh Laurence Stallings, adalah kedua film adaptasi dari Ernest Hemingway 1929 semi-otobiografi novel dengan nama yang sama. Ini adalah film terakhir yang diproduksi oleh David O. Selznick."
